"Display Name","Phone","Email","Mobile","Agent","Salesperson","Activities","City","Street","Street2","Country","Company","Created on","Is B2B Landing Page"
"CÔNG TY CỔ PHẦN THƯƠNG MẠI DẦU KHÍ MINH ĐỨC","","","","","","","","","","Vietnam","","2026-04-30 23:08:53",""
"CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ HẢI ĐĂNG VÀNG","","","","","","","","","","Vietnam","","2026-05-02 23:03:54",""
"CÔNG TY CỔ PHẦN TM & DV THEGOODTOURS VIỆT NAM","","","","","","","","","","Vietnam","","2026-05-04 15:16:29",""
"CÔNG TY CỔ PHẦN TRU-LIFE VIỆT NAM","","","","","","","","","","Vietnam","","2026-05-04 17:31:32",""
"CÔNG TY CỔ PHẦN TƯ VẤN QUẢN TRỊ CGS VIỆT NAM","","linh.phung@cgsvietnam.com","","","","","","Số 11 ngách 5 ngõ 106 đường Hoàng Quốc Việt, Phường Nghĩa Đô, TP Hà Nội, Việt Nam","","","","2026-05-04 17:30:18",""
"CÔNG TY CỔ PHẦN VẬN TẢI HÙNG ĐẠT","","","","","","","","","","Vietnam","","2026-05-02 11:05:06",""
"CÔNG TY CỔ PHẦN XÂY DỰNG THƯƠNG MẠI DU LỊCH HỒNG NGỌC HÀ","","","","","","","","","","","","2026-04-29 16:13:02",""
"Công Ty CP Đầu Tư Thực Phẩm KFOOD","","","","","","","","Số 56 Đường C, Khu phố Cảnh Viên 3, Lô S4-2, Khu Đô Thị Phú Mỹ Hưng,Phường Tân Mỹ, Thành phố Hồ Chí Minh, Việt Nam","","","","2026-04-29 17:17:19",""
"Công ty CP Thẩm định giá VN CONTROL","","","","","","","","","","Vietnam","","2026-05-04 16:07:15",""
"Công ty CP Thành Thành Công - Biên Hòa","","dangdiemtrinh@gmail.com","","","","","","Ấp Tân Lợi, Xã Tân Phú, Tỉnh Tây Ninh","","","","2026-05-03 07:22:04",""
"Công ty CP Thành Thành Công - Biên Hòa","","","","","","","","","","Vietnam","","2026-05-03 07:21:39",""
"CÔNG TY CP THE ONE DESTINATION","","","","","","","","","","Vietnam","","2026-05-05 13:59:58",""
"CÔNG TY THƯƠNG MẠI CỔ PHẦN TIÊN PHONG","","","","","","","","","","Vietnam","","2026-05-01 11:40:02",""
"CÔNG TY TNHH 1BRANDLINK","","","","","","","","140 Nguyễn Văn Thủ, Phường Tân Định, TP Hồ Chí Minh, Việt Nam","","","","2026-05-01 13:16:40",""
"CÔNG TY TNHH AN PHÁT GLOBAL SUPPLY CHAIN","","","","","","","","","","Vietnam","","2026-05-04 16:21:57",""
"Công ty TNHH Archetype Việt Nam","","","","","","","","","","","","2026-05-04 13:46:02",""
"CÔNG TY TNHH ARTEMIS DIGITAL VIỆT NAM","","","","","","","","","","Vietnam","","2026-04-29 18:55:18",""
"CÔNG TY TNHH ASSA ABLOY GLOBAL SOLUTIONS VIỆT NAM","","","","","","","","","","Vietnam","","2026-04-29 11:02:18",""
"CÔNG TY TNHH BEAUTE PRO VIỆT NAM","","tuphan.beauteprovn@gmail.com","","","","","","79/10/6B Đường 12, Phường Tam Bình, Thành phố Hồ Chí Minh, Việt Nam","","","","2026-05-04 11:04:13",""
"CÔNG TY TNHH BÌNH MINH BOOKING TRAVEL","","binhminhbookingtravel@gmail.com","","Khanh Trần","","","","32 Trần Quý Hai, Phường Cẩm Lệ, TP Đà Nẵng, Việt Nam","","","","2026-05-05 16:48:11",""
"CÔNG TY TNHH BLEU MONKEY COFFEE","","","","","","","","","","Vietnam","","2026-04-30 19:40:53",""
"CÔNG TY TNHH BLOSSOM RITUAL","","company@blossomritual.com","","","","","","Số 10 ngách 19/15 Kim Đồng, Phường Tương Mai, TP Hà Nội, Việt Nam","","","","2026-05-04 19:42:05",""
"CÔNG TY TNHH CÁ BÉ","","hello@cabe.studio","","","","","","54/3 Ký Con, Phường Bến Thành, TP Hồ Chí Minh, Việt Nam","","","","2026-05-05 11:45:30",""
"Công ty TNHH Cánh Cung","","","","","","","","","","Vietnam","","2026-05-05 11:17:12",""
"CÔNG TY TNHH CBRE (VIỆT NAM)","","","","","","","","","","","","2026-05-05 15:33:32",""
"Công ty TNHH Chuyến Đi Mới","","","","","","","","","","Vietnam","","2026-05-05 12:43:55",""
"CÔNG TY TNHH ĐẠI LÝ VÀ MÔI GIỚI VẬN TẢI BIỂN QUỐC TẾ","","","","","","","","Số 6 Lô 26BC KĐTM Lê Hồng Phong, Phường Gia Viên, TP Hải Phòng, Việt Nam","","","","2026-05-03 22:27:40",""
"Công ty TNHH DataColor Việt Nam","","","","","","","","","","Vietnam","","2026-05-05 14:53:22",""
"CÔNG TY TNHH ĐẦU TƯ MĂNG ĐEN","","","","","","","","","","Vietnam","","2026-04-29 12:38:37",""
"CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN HỢP LONG","","","","","","","","","","Vietnam","","2026-04-29 19:31:16",""
"CÔNG TY TNHH ĐẾ CHẾ QUÀ TẶNG","","hoadondeche@meinvoice.vn","","","","","","68 Nguyễn Huệ, Phường Bến Nghé, Quận 1, TP Hồ Chí Minh, Việt Nam","","","","2026-05-03 20:45:53",""
"CÔNG TY TNHH DỊCH VỤ DU LỊCH TARA","","taratravel.hcm@gmail.com","","","","","","15/45 Lô Tư, Phường Bình Hưng Hòa, Thành phố Hồ Chí Minh, Việt Nam","","","","2026-05-02 16:16:40",""
"CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI IZI SOLUTION","","trang.quynh1.nguyen@dksh.com","","","","","","Tầng 7, Tòa nhà Viettel Complex, số 285 Cách Mạng Tháng 8, Phường Hòa Hưng, Thành Phố Hồ Chí Minh, Việt Nam","","","","2026-05-05 17:23:41",""
"CÔNG TY TNHH ĐIỆN LỰC AES MÔNG DƯƠNG","","","","","","","","","","Vietnam","","2026-05-04 13:18:36",""
"CÔNG TY TNHH EPSON VIỆT NAM","","","","","","","","","","","","2026-05-05 17:09:21",""
"CÔNG TY TNHH FUKUSHIMA GALILEI VIỆT NAM","","","","","","","","","","Vietnam","","2026-05-04 17:56:39",""
"CÔNG TY TNHH GAMEGEEK VIETNAM","","","","","","","","","","Vietnam","","2026-05-05 18:00:30",""
"CÔNG TY TNHH GE HEALTHCARE VIỆT NAM","","nhan.ha@gehealthcare.com","","","","","","Phòng V1505-1506 Pacific Place, số 83B Lý Thường Kiệt, Phường Cửa Nam, Thành phố Hà Nội, Việt Nam","","","","2026-05-04 18:08:00",""
"Công ty TNHH GenV","","","","","","","","","","Vietnam","","2026-05-04 16:03:59",""
"CÔNG TY TNHH GIẢI PHÁP SATO VIỆT NAM","","","","","","","","","","Vietnam","","2026-04-29 10:39:26",""
"CÔNG TY TNHH GIAO NHẬN VẬN TẢI TRUNG DŨNG","","","","","","","","","","Vietnam","","2026-05-04 19:46:43",""
"CÔNG TY TNHH GLOBAL EDUCATION ALLIANCE VIỆT NAM ","","","","","","","","","","Vietnam","","2026-05-04 15:55:26",""
"CÔNG TY TNHH GỐM SỨ SÔNG HỒNG","","","","","","","","","","Vietnam","","2026-05-05 12:10:14",""
"CÔNG TY TNHH HẢI NAM 37 C","","hoadon.congtyhainam37c@gmail.com","","","","","","03 Kỳ Đồng- Thanh Khê- Đà Nẵng","","","","2026-05-05 15:02:25",""
"Công ty TNHH Hành Trình Phiêu Lưu Việt Nam","","acc.adventurexpedition@gmail.com","","Nguyễn Thanh Thư","","","","Số 62 Ngõ 99/110/23 Định Công Hạ, phường Định Công, Tp Hà Nội","","","","2026-05-04 11:29:54",""
"CÔNG TY TNHH HƯƠNG NGUYÊN","","","","","","","","","","Vietnam","","2026-05-04 18:14:22",""
"CÔNG TY TNHH JANATICS GLOBAL VIỆT NAM","","Huycuong.Do@janatics.com","","","","","","31/8/4, Đường số 17, Khu phố 46, Phường Hiệp Bình, TP Hồ Chí Minh, Việt Nam","","","","2026-05-04 11:18:21",""
"CÔNG TY TNHH JY PLASTIC","","","","","","","","","","Vietnam","","2026-05-02 17:52:07",""
"CÔNG TY TNHH KAOTOURS","","","","","","","","Thôn Trình Xá, Xã Thanh Oai, Thành phố Hà Nội, Việt Nam","","","","2026-05-04 21:50:19",""
"CÔNG TY TNHH KIEM TOÁN - THẨM ĐỊNH GIÁ VÀ TƯ VẤN ECOVIS AFA VIÊT NAM","","duongthy1210@gmail.com","","","","","","Số 142 đường Xô Viết Nghệ Tĩnh, Phường Hòa Cường, Thành phố Đà Nẵng, Việt Nam","","","","2026-05-01 15:44:38",""
"CÔNG TY TNHH KIỂM TOÁN - THẨM ĐỊNH GIÁ VÀ TƯ VẤN ECOVIS AFA VIỆT NAM","","duongthy1210@gmail.com","","","","","","Số 142 đường Xô Viết Nghệ Tĩnh, Phường Hòa Cường, Thành phố Đà Nẵng, Việt Nam","","","","2026-05-01 15:49:46",""
" CÔNG TY TNHH KOSMOS LIFESTYLE","","","","","","","","","","Vietnam","","2026-04-29 18:17:48",""
"CÔNG TY TNHH KOSMOS LIFESTYLE","","","","","","","","","","Vietnam","","2026-04-29 18:18:04",""
"CÔNG TY TNHH MAI VĂN ĐÁNG","","","","","","","","KCN Hoà Xá, Phường Thành Nam, Tỉnh Ninh Bình. Dũng","","","","2026-05-01 15:09:20",""
"CÔNG TY TNHH METH","","","","","","","","","","Vietnam","","2026-05-04 10:54:39",""
"CÔNG TY TNHH MILBON VIỆT NAM","","","","","","","","","","","","2026-05-05 17:04:06",""
"CÔNG TY TNHH MINGJIE VIỆT NAM","","","","","","","","","","Vietnam","","2026-05-01 10:01:51",""
"CÔNG TY TNHH MTV THƯƠNG MẠI ĐẠI HƯNG","","","","","","","","","","Vietnam","","2026-05-04 13:44:43",""
"CÔNG TY TNHH MTV THƯƠNG MẠI ĐẠI HƯNG","","","","","","","","","","Vietnam","","2026-05-04 13:43:28",""
"Công Ty TNHH NutriPet Việt Nam","","","","","","","","","","Vietnam","","2026-04-30 18:35:04",""
"CÔNG TY TNHH PANASONIC VIỆT NAM","","","","","","","","","","Vietnam","","2026-05-05 13:50:32",""
"CÔNG TY TNHH PERSOL VIỆT NAM","","","","","","","","L17-11 , Tầng 17 , Tòa Nhà Vincom Center, Số 72 Lê Thánh Tôn, Phường Sài Gòn, Thành phố Hồ Chí Minh","","","","2026-05-04 14:09:09",""
"CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI DU LỊCH SEN VÀNG","","vandulichsenvang@gmail.com","","Khanh Trần","","","","Tầng 7, tòa nhà Sannam, Số 78 Phố Duy Tân, Phường Cầu Giấy, TP.Hà Nội, Việt Nam","","","","2026-05-06 10:12:32",""
"CÔNG TY TNHH PHS ACADEMY","","","","","","","","","","","","2026-05-04 17:32:32",""
"CÔNG TY TNHH PHS ACADEMY","","","","","","","","","","","","2026-05-04 17:31:49",""
"CÔNG TY TNHH PHÚ KHANG NGHICÔNG TY TNHH PHÚ KHANG NGHI","","","","","","","","","","Vietnam","","2026-05-06 08:27:33",""
"Công ty TNHH Pizza Việt Nam","","","","","","","","","","Vietnam","","2026-05-01 19:45:48",""
"CÔNG TY TNHH QUẢNG CÁO VÀ TRUYỀN THÔNG PHƯƠNG ĐÔNG SOLUTIONS","","","","","","","","","","Vietnam","","2026-05-05 16:00:54",""
"CÔNG TY TNHH QUẢN LÝ CÔNG NGHIỆP BOUSTEAD & KTG","","","","","","","","","","Vietnam","","2026-05-05 17:12:32",""
"CÔNG TY TNHH QUẢN LÝ CÔNG NGHIỆP BOUSTEAD & KTG","","","","","","","","","","Vietnam","","2026-05-05 17:05:43",""
"CÔNG TY TNHH REVA VIỆT NAM INTERNATIONAL REALTY","","","","","","","","","","Vietnam","","2026-05-01 09:48:21",""
"CÔNG TY TNHH RICHMOND GROUP","","Hcl3005@gmail.com","","","","","","152 - 154 Võ Văn Kiệt, Phường Bến Thành, Thành phố Hồ Chí Minh, Việt Nam","","","","2026-05-01 20:52:09",""
"CÔNG TY TNHH SAMSUNG C&T CORPORATION VIỆT NAM","","ntp.loan@samsung.com","","Nguyễn Trí","","","","Tầng 2, Tòa nhà Halla, Lô CC2, Khu công nghiệp Yên Phong, Xã Yên Trung, Tỉnh Bắc Ninh, Việt Nam","","","","2026-04-30 14:33:20",""
"Công ty TNHH Siemens Healthcare ","","","","","","","","","","Vietnam","","2026-05-05 07:53:38",""
"CÔNG TY TNHH SOULIE PRODUCTION","","","","","","","","","","Vietnam","","2026-05-01 18:19:19",""
"CÔNG TY TNHH THAI WAH VIỆT NAM","","","","","","","","","","Vietnam","","2026-04-29 13:55:36",""
"CÔNG TY TNHH THIẾT BỊ MÁY NHẬT HÀN","","","","","","","","","","Vietnam","","2026-05-01 08:40:52",""
"CÔNG TY TNHH THỰC PHẨM TỐT LÀNH","","huy.nguyengia@goodfood.com.vn","","","","","Hồ Chí Minh","194 Ung Văn Khiêm, Phường Thạnh Mỹ Tây, TP Hồ Chí Minh, Việt Nam","","Vietnam","","2026-05-03 10:45:35",""
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ DU LỊCH NGUYỆT ANH VIỆT NAM","","hoadonnguyetanh@gmail.com","","Khanh Trần","","","","Số 4 ngõ 299/44 đường Hoàng Mai, Phường Tương Mai , Thành phố Hà Nội, Việt Nam.","","","","2026-04-29 09:28:11",""
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HOÀNG SONG ANH","","","","","","","","","","Vietnam","","2026-05-03 10:16:48",""
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ LYAN","","","","","","","","47 - 49 Trần Quang Diệu, Phường Nhiêu Lộc, TP Hồ Chí Minh, Việt Nam","","","","2026-04-29 16:29:43",""
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ MISS HÀ NỘI","","","","","","","","","","Vietnam","","2026-04-29 21:14:53",""
"CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NGÂN GIANG TRAVELUS VIỆT NAM","","ngangiangtravelus@gmail.com","","Nguyễn Thanh Thư","","","","Số 57- Lạc Hồng, tổ 5 khu Núi Miếu xã. Phù Ninh , T . Phú Thọ","","","","2026-05-02 12:53:27",""
"CÔNG TY TNHH THƯƠNG MẠI MICOS","","Micos922610@gmail.com","","","","","","21/1/5B Lý Thục Man, Phường Tân Thuận, Thành phố Hồ Chí Minh","","Vietnam","","2026-04-30 07:29:16",""
"CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ PHÁT TIẾN ","","","","","","","","","","Vietnam","","2026-05-02 20:46:43",""
"CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ PHÁT TIẾN 136D Mai Chí Thọ, Phường Bình Trưng, Thành phố Hồ Chí Minh, Việt Nam","","","","","","","","","","Vietnam","","2026-05-02 20:43:15",""
"CÔNG TY TNHH THƯƠNG MẠI VẬT LIỆU XÂY DỰNG KEDAXIN (VIỆT NAM)","","","","","","","","","","Vietnam","","2026-05-05 17:48:25",""
"Công ty TNHH TOTO Việt Nam","","","","","","","","","","Vietnam","","2026-05-05 08:31:31",""
"CÔNG TY TNHH TRANG THIẾT BỊ Y TẾ TRUNG HIẾU","","","","","","","","","","Vietnam","","2026-05-05 09:16:25",""
"CÔNG TY TNHH TRANSMEDIC HEALTHCARE","","","","","","","","","","","","2026-04-29 17:27:05",""
"CÔNG TY TNHH TRANSTECH VIỆT NAM","","hr@transtech.com.vn","","Ngô Quốc Vinh","","","","Nhà xưởng số 26, Đường 9-7 (đường nội bộ cụm nhà xưởng cho thuê giai đoạn 3), KCN Long Thành, Xã An Phước, Thành phố Đồng Nai, Việt Nam","","","","2026-05-04 12:28:52",""
"Công ty TNHH TRÍ TUỆ TIÊN PHONG","","","","","","","","","","Vietnam","","2026-05-05 19:37:59",""
"CÔNG TY TNHH TRUYỀN THÔNG SENAU","","","","","","","","","","Vietnam","","2026-04-29 14:01:51",""
"CÔNG TY TNHH TRUYỀN THÔNG T2B","","ketoant2b@gmail.com","","Nguyễn Thanh Thư","","","","Lầu 4, 55 Bis Nguyễn Văn Thủ, Phường Tân Định, Thành Phố Hồ Chí Minh","","","","2026-05-05 18:14:07",""
"CÔNG TY TNHH TƯ VẤN LÃNH ĐẠO VÀ PHÁT TRIỂN TÀI NĂNG (LE GIA)","","","","","","","","","","Vietnam","","2026-04-30 08:48:41",""
"CÔNG TY TNHH TƯ VẤN OKB VIỆT NAM","","","","","","","","","","Vietnam","","2026-05-05 11:34:26",""
"CÔNG TY TNHH TƯ VẤN THIẾT KẾ XÂY DỰNG VERTICAL","","","","","","","","","","Vietnam","","2026-05-05 13:39:34",""
"CÔNG TY TNHH VÀNG BẠC ĐÁ QUÝ HOÀN HUẾ","","","","","","","","","","Vietnam","","2026-04-30 12:12:29",""
"CÔNG TY TNHH VICTOR-TAICHUNG VIỆT NAM","","","","","","","","","","Vietnam","","2026-05-05 18:07:36",""
"CÔNG TY TNHH VIỆN THỬ NGHIỆM & NGHIÊN CỨU HÀN QUỐC VIỆT NAM","","ktrvn@ktr.or.kr","","","","","","Phòng 18B, Tầng 19, Charmvit Tower, 117 Trần Duy Hưng, Phường Yên Hòa, TP Hà Nội, Việt Nam","","Vietnam","","2026-05-05 06:27:01",""
"CÔNG TY TNHH VIETCETERA","","","","","","","","","","Vietnam","","2026-05-06 08:34:59",""
"CÔNG TY TNHH VIETCETERA","","","","","","","","","","Vietnam","","2026-05-06 08:34:19",""
"Công  Ty TNHH Xây Dựng Cầu Đường Việt Đức","","","","","","","","","","Vietnam","","2026-05-04 16:53:00",""
"CÔNG TY TNHH YTACADEMY","","","","","","","","","","Vietnam","","2026-05-04 10:57:57",""
"CÔNG TY TRÁCH NHIỆM HỮU HẠN CIEL","","admin@cieldining.com","","","","","","6/3 đường số 50, Phường An Khánh, TP Hồ Chí Minh, Việt Nam","","","","2026-05-05 12:56:39",""
"CTY TNHH VBDQ HOAN HUE","","","","","","","","","","Vietnam","","2026-04-29 13:46:10",""
"CTY TNHH VBĐQ HOÀN HUẾ","","","","","","","","","","Vietnam","","2026-04-29 14:12:49",""
"DOSE Office Property Corp","","","","","","","","","","Vietnam","","2026-05-05 09:05:36",""
"Heytrip go","","","","Nguyễn Thanh Thư","","","","khong","","","","2026-05-04 18:54:25",""
"HỘ KINH DOANH CỬA HÀNG GIÀY DÉP TIỆM ĐÓNG GIÀY ME","","","","","","","","","","Vietnam","","2026-04-29 21:54:28",""
"HỘ KINH DOANH CỬA HÀNG GIÀY DÉP TIỆM ĐÓNG GIÀY ME (HUỲNH THỊ PHƯƠNG)","","","","","","","","","","Vietnam","","2026-05-02 11:14:04",""
"Hộ Kinh Doanh Phương Phương Thảo","","phuongphuongthaohkd@gmail.com","","","","","","61 Trần Quốc Thảo, Phường Xuân Hòa, Thành Phố Hồ Chí Minh","","","","2026-05-04 16:34:12",""
"KIM NHUAN TRAVEL","","","","","","","","","","Vietnam","","2026-05-05 16:29:12",""
"KONE ","","","","","","","","","","Vietnam","","2026-05-04 16:44:20",""
"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN NGOẠI THƯƠNG VIỆT NAM - CHI NHÁNH BẮC THANH HÓA","","","","","","","","","","","","2026-05-05 13:50:21",""
"NGÂN HÀNG THƯƠNG MAI CỔ PHẦN TIÊN PHONG","","","","","","","","","","Vietnam","","2026-04-29 17:20:29",""
"NGÂN HÀNG THƯƠNG MAI CỔ PHẦN TIÊN PHONG","","","","","","","","","","Vietnam","","2026-04-29 16:45:12",""
"NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN TIÊN PHONG","","","","","","","","","","Vietnam","","2026-05-01 11:32:27",""
"NGÂN HÀNG THƯƠNG MAI CỔ PHẦN TIÊN PHONG Address/ Địa chỉ:","","","","","","","","","","Vietnam","","2026-04-29 17:22:36",""
"ÔNG TY TNHH ĐẦU TƯ MĂNG ĐEN","","","","","","","","","","Vietnam","","2026-04-29 12:35:25",""
"sick","","","","","","","","","","Vietnam","","2026-05-05 10:29:34",""
